timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1698846593203,2729,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698846593203,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698846594205,93240,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698846594205,2753,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698846594205,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698846595210,93245,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698846595210,2117,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698846595210,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698846596216,93251,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698846596217,4250,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698846596217,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698846597222,93254,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698846597223,2375,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698846597223,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698846598229,93260,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698846598229,5742,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698846598229,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698846599235,93263,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698846599236,2973,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698846599236,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698846600243,93265,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698846600245,3358,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698846600245,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698846601254,93288,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698846601257,4630,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698846601257,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698846602264,93285,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698846602267,4369,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698846602267,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698846603272,93283,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698846603272,3985,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698846603272,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698846604280,93282,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698846604280,2127,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698846604280,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698846605287,93289,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698846605287,3726,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698846605287,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698846606294,93289,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698846606294,3735,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698846606294,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698846607303,93294,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698846607303,4494,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698846607303,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698846608310,93301,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698846608311,2111,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698846608311,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698846609317,93298,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698846609319,3117,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698846609319,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698846610325,93246,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698846610325,7329,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698846610325,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698846611331,93238,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698846611332,3486,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698846611332,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698846612335,93242,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698846612335,2122,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698846612335,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698846613341,93235,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698846613341,2496,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698846613341,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698846614347,93238,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698846614347,2114,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698846614347,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698846615353,93245,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698846615353,1990,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698846615353,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698846616356,93244,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698846616357,3000,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698846616357,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698846617363,93247,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698846617363,2988,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698846617363,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698846618370,93250,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698846618371,8198,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
